Unnamed: 0,artist_name,track_name,track_id,popularity,year,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,popularity_category,cluster_1,cluster_2,cluster_3,best_feature,optimal_value,predicted_increase
367.0,Tristan Prettyman,The Rebound,7FpIlu3OoCp7VM5ajYgaWw,13,2012,acoustic,0.818,0.41,2,-8.696,1,0.0564,0.0953,6.29e-05,0.0853,0.75,92.002,147747,4,Low,False,False,False,valence,0.55,4.19780135840924
368.0,Tim Barry,Bankers Dilemma,5vPQx2m1VgluqfWpmbaFwQ,13,2012,acoustic,0.631,0.652,7,-4.737,1,0.0524,0.352,0.0,0.136,0.662,97.967,169947,4,Low,False,False,False,acousticness,0.1519999999999999,2.04667456850407
369.0,Katie Herzig,We're All in This Together,428cC4nBhgRMLwkjMFjXhw,20,2012,acoustic,0.523,0.342,3,-10.328,1,0.0364,0.886,4.11e-05,0.114,0.441,124.145,120373,4,Low,True,False,False,liveness,0.0,1.3476857480667803
370.0,Fuyumi Abe,更地,0xMHGvstLxWq0aXDfehI9D,29,2012,acoustic,0.676,0.301,11,-14.166,1,0.0264,0.803,3.02e-06,0.0947,0.511,97.988,159360,4,Low,True,False,False,danceability,0.8315555555555556,2.2238681669878133
371.0,Joey Cape,Resolve,0mztZtBx3boRw58FHDwlB8,20,2012,acoustic,0.339,0.51,8,-6.201,1,0.0391,0.717,0.0,0.307,0.621,84.093,130840,4,Low,True,False,False,danceability,0.539,1.775476751149098
372.0,David Ramirez,Paper Thin,1wC4FKffzQ6O228JTA2YZL,13,2012,acoustic,0.511,0.0613,9,-17.737,1,0.0549,0.503,0.000759,0.176,0.105,118.59,141467,4,Low,True,False,False,loudness,0.0,1.9261480702200944
373.0,Benjamin Francis Leftwich,In the Open,0YxRq8qEwpXyWwJFiVYm9N,13,2012,acoustic,0.529,0.56,8,-8.786,1,0.0287,0.361,1.54e-06,0.159,0.569,131.269,213307,4,Low,True,False,False,loudness,0.0,2.345515078331946
374.0,Tyrone Wells,Give It Time,6DVTJ86mwBfg1zWCmIEzYx,18,2012,acoustic,0.546,0.588,6,-7.069,1,0.0264,0.0566,0.0,0.067,0.302,96.072,208760,4,Low,False,False,False,danceability,0.746,1.018213003413024
375.0,A Fine Frenzy,It's Alive,27BBs6uXwknJHO4EsTU082,12,2012,acoustic,0.713,0.513,5,-7.396,0,0.0359,0.00836,0.0,0.088,0.819,118.008,225095,4,Low,False,False,False,loudness,0.0,5.987146388073871
376.0,Jenny & Tyler,Psalm 86,54aohSaGyM0GzE02PDASZE,13,2012,acoustic,0.482,0.387,9,-11.731,1,0.0414,0.0699,0.0,0.0885,0.156,153.97,233933,4,Low,False,False,False,loudness,0.0,5.048918935034134
377.0,Tyler Ward,What Makes You Beautiful - Acoustic,381K4mTE7dLGzgVOYqwxOr,25,2012,acoustic,0.719,0.276,2,-8.619,1,0.0297,0.736,0.0,0.12,0.485,98.003,188878,4,Low,True,False,False,valence,0.285,1.4388446034496063
378.0,Tim Barry,40 Miler,1VNnaXhXUFS07Ev1PEd8j8,12,2012,acoustic,0.498,0.519,7,-6.843,1,0.0437,0.478,1.12e-05,0.201,0.552,134.819,218640,4,Low,True,False,False,danceability,0.698,1.3230900609485268
379.0,Chuck Ragan,Field Holler,4GZFw5vY5pZ6ZMWyX8qPjr,18,2012,acoustic,0.619,0.574,2,-7.677,0,0.0284,0.528,0.0,0.0714,0.632,135.972,163475,4,Low,True,False,False,danceability,0.819,1.9411147969607607
380.0,Dave Barnes,Mine To Love,6WI2N2R8Mf4RyVFQqu4mmQ,12,2012,acoustic,0.541,0.824,3,-5.9,1,0.0282,0.000941,0.0,0.228,0.637,101.98,228800,4,Low,False,False,False,danceability,0.7410000000000001,1.1498355277872996
381.0,Ramshackle Glory,Fuck Everything (Reportback from the Nihilist Working Group to the General Assembly of Occupy Tucson),5FfpnKwSfEV2ww0zGaFPun,14,2012,acoustic,0.194,0.663,0,-8.965,1,0.0387,0.00204,0.000139,0.333,0.537,68.273,204920,4,Low,False,False,False,loudness,0.0,2.087572209471105
382.0,Amos Lee,Mama Sail To Me,21EDq30Zgzb1BixIdtq0Ao,15,2012,acoustic,0.355,0.287,7,-11.034,1,0.0309,0.854,0.00113,0.103,0.296,80.463,251947,4,Low,True,False,False,liveness,0.0,1.4584683038314914
383.0,Eric Hutchinson,In the First Place,2cyJaJQ0H3yLOa3oWorpk8,13,2012,acoustic,0.635,0.745,9,-5.013,1,0.0242,0.00093,0.0,0.177,0.644,97.997,250160,4,Low,False,False,False,valence,0.444,0.727989360013158
384.0,Harley Poe,What's a Devil to Do?,4FdgOEa16hCKV09igvpiLW,14,2012,acoustic,0.552,0.67,9,-4.895,0,0.0308,0.204,0.0,0.0814,0.572,91.683,391000,4,Low,False,False,False,valence,0.3719999999999999,2.9010363729625546
385.0,Harley Poe,The Worms Crawl In,3pBLHNsdMuqUTLRtcXXgNZ,16,2012,acoustic,0.413,0.515,0,-4.632,0,0.0467,0.339,0.0,0.0796,0.546,203.533,165000,3,Low,True,False,False,danceability,0.5685555555555555,1.392701713659374
386.0,Steve Petrunak,Jingle Bell Rock,5vypcmaP4DnqH71TGZVTni,15,2012,acoustic,0.724,0.471,11,-7.038,0,0.0377,0.819,0.909,0.119,0.657,135.753,131600,4,Low,False,True,False,speechiness,0.0,3.995145272410676
387.0,Jon McLaughlin,If Only I,0jfJ9q6TwCqPjZkiYr4BOV,16,2012,acoustic,0.621,0.557,7,-7.633,1,0.0324,0.14,0.000412,0.111,0.0392,119.48,326400,4,Low,False,False,False,instrumentalness,0.0,2.9871195742978536
388.0,David Ramirez,An Introduction,3WHJBKEhA6VsEMFCAaBxYP,14,2012,acoustic,0.41,0.78,11,-7.527,0,0.0281,0.00323,5.71e-05,0.325,0.578,171.833,218440,4,Low,False,False,False,danceability,0.61,2.4167203154745778
