Unnamed: 0,artist_name,track_name,track_id,popularity,year,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,cluster_1,cluster_2,cluster_3,cluster_4,best_feature,optimal_value,predicted_increase
3049,Air,Cosmic Trip,502ISySpPVTKQFrqf8JLiM,28,2012,ambient,0.536,0.917,7,-6.565,1.0,0.0314,9.82e-05,0.94,0.0866,0.576,165.002,250111.0,3.0,False,False,False,True,danceability,0.736,1.921655056924792
3050,Ryuichi Sakamoto,Seven Samurai - ending theme,6zw0DPKOhqYC3yWM4HruKW,28,2012,ambient,0.225,0.0409,7,-21.277,0.0,0.041,0.974,0.351,0.0577,0.0567,72.971,345440.0,4.0,False,True,False,False,duration_ms,38383.08888888889,4.048852136416835
3051,Bethel Music,Angels - Acoustic Version,549LZbAUxaOnTiyGklihCU,23,2012,ambient,0.193,0.267,2,-12.359,1.0,0.0365,0.795,9.32e-05,0.162,0.233,81.498,230573.0,3.0,True,False,False,False,liveness,0.0,2.088553212425957
3052,Wouter Veldhuis,A Large Selection of Unknown Origins,6k3cbwTgW9N8RIdFUwmrlj,23,2012,ambient,0.188,0.109,1,-22.807,1.0,0.0497,0.987,0.935,0.0989,0.0313,142.623,271837.0,3.0,False,True,False,False,speechiness,0.0277444444444444,4.379127075730686
3053,Robert Rich,Seeking Eden,1CofRHm9js6lOifjvBuM49,23,2012,ambient,0.167,0.138,6,-22.314,1.0,0.0398,0.976,0.956,0.113,0.0309,69.176,486093.0,4.0,False,True,False,False,duration_ms,54011.20000000001,5.307612656662235
3054,Fabrizio Paterlini,Week No. 9,7EWYdhDukbN6clqu9yfL05,32,2012,ambient,0.419,0.0221,8,-23.541,0.0,0.0524,0.994,0.948,0.116,0.238,120.394,211763.0,4.0,False,True,False,False,speechiness,0.0,4.352580600926192
3055,Ex Confusion,Sketches for the Truth,3sk9JewB6yoD0HyfLQwMXg,20,2012,ambient,0.106,0.142,4,-18.017,1.0,0.0358,0.965,0.915,0.0991,0.047,65.892,234240.0,4.0,False,True,False,False,duration_ms,78080.59999999998,4.1904996991598935
3056,paniyolo,Spring Garden,5FGyoEAdobb0Npwd6D1bfM,22,2012,ambient,0.664,0.032,11,-24.529,1.0,0.169,0.993,0.929,0.0882,0.4,114.026,184827.0,4.0,False,True,False,False,speechiness,0.0,5.266467793849838
3057,Brian Eno,LUX 1,7j4N7LQZHGiNvPELPuNCPu,24,2012,ambient,0.068,0.0225,0,-27.637,1.0,0.0429,0.971,0.865,0.0854,0.034,68.803,1160557.0,1.0,False,True,False,False,duration_ms,128951.64444444444,3.472549851149754
3058,Sleeping At Last,We're Still Here,2nYIQ6ZlhwwHh3ke75K2nW,23,2012,ambient,0.223,0.298,3,-12.124,1.0,0.0301,0.727,0.00672,0.11,0.144,165.14,223719.0,4.0,True,False,False,False,danceability,0.423,1.7261023936115585
